FreqDailyobsdate,SOFRINDEX,SOFR30DAYAVG,SOFR90DAYAVG,SOFR180DAYAVG
2019-06-03,1.02583087,2.414590000000000000,2.450200000000000000,2.44302000000000000
2019-06-04,1.02589926,2.413600000000000000,2.450420000000000000,2.44375000000000000
2019-06-05,1.02596737,2.412260000000000000,2.450530000000000000,2.44404000000000000
2019-06-06,1.02603576,2.411590000000000000,2.450760000000000000,2.44460000000000000
2019-06-07,1.02610417,2.410260000000000000,2.450870000000000000,2.44516000000000000
2019-06-10,1.02630853,2.407910000000000000,2.450980000000000000,2.44775000000000000
2019-06-11,1.02637667,2.407580000000000000,2.450980000000000000,2.44882000000000000
2019-06-12,1.02644452,2.406920000000000000,2.450760000000000000,2.44977000000000000
2019-06-13,1.02651210,2.406580000000000000,2.450200000000000000,2.45067000000000000
2019-06-14,1.02657911,2.405250000000000000,2.448970000000000000,2.45146000000000000
2019-06-17,1.02678014,2.395890000000000000,2.445840000000000000,2.45264000000000000
2019-06-18,1.02684888,2.395560000000000000,2.445730000000000000,2.45326000000000000
2019-06-19,1.02691705,2.394560000000000000,2.444830000000000000,2.45314000000000000
2019-06-20,1.02698437,2.393560000000000000,2.443940000000000000,2.45292000000000000
2019-06-21,1.02705170,2.392890000000000000,2.443490000000000000,2.45270000000000000
2019-06-24,1.02725454,2.392890000000000000,2.442480000000000000,2.45208000000000000
2019-06-25,1.02732274,2.393570000000000000,2.442370000000000000,2.45180000000000000
2019-06-26,1.02739151,2.394910000000000000,2.442480000000000000,2.45163000000000000
2019-06-27,1.02746086,2.396910000000000000,2.442480000000000000,2.45146000000000000
2019-06-28,1.02752993,2.397250000000000000,2.439920000000000000,2.45124000000000000
2019-07-01,1.02774400,2.404260000000000000,2.437010000000000000,2.44584000000000000
2019-07-02,1.02781308,2.401920000000000000,2.436560000000000000,2.44173000000000000
2019-07-03,1.02788475,2.402590000000000000,2.437010000000000000,2.44066000000000000
2019-07-04,#N/A,#N/A,#N/A,#N/A
2019-07-05,1.02803093,2.413610000000000000,2.439240000000000000,2.44190000000000000
2019-07-08,1.02825282,2.432970000000000000,2.443600000000000000,2.44465000000000000
2019-07-09,1.02832365,2.435980000000000000,2.443940000000000000,2.44482000000000000
2019-07-10,1.02839364,2.437980000000000000,2.443940000000000000,2.44494000000000000
2019-07-11,1.02846391,2.440320000000000000,2.444160000000000000,2.44522000000000000
2019-07-12,1.02853276,2.441320000000000000,2.443830000000000000,2.44522000000000000
2019-07-15,1.02873504,2.441650000000000000,2.440810000000000000,2.44415000000000000
2019-07-16,1.02880533,2.445330000000000000,2.440690000000000000,2.44432000000000000
2019-07-17,1.02887592,2.449340000000000000,2.440360000000000000,2.44465000000000000
2019-07-18,1.02894651,2.451340000000000000,2.440030000000000000,2.44494000000000000
2019-07-19,1.02901683,2.453680000000000000,2.439590000000000000,2.44517000000000000
2019-07-22,1.02922349,2.458350000000000000,2.437010000000000000,2.44505000000000000
2019-07-23,1.02929210,2.459360000000000000,2.436340000000000000,2.44505000000000000
2019-07-24,1.02936072,2.460360000000000000,2.435890000000000000,2.44499000000000000
2019-07-25,1.02942963,2.461030000000000000,2.435450000000000000,2.44505000000000000
2019-07-26,1.02949883,2.461360000000000000,2.435000000000000000,2.44517000000000000
2019-07-29,1.02970559,2.457350000000000000,2.433100000000000000,2.44539000000000000
2019-07-30,1.02977424,2.454020000000000000,2.429080000000000000,2.44544000000000000
2019-07-31,1.02984260,2.450340000000000000,2.427400000000000000,2.44438000000000000
2019-08-01,1.02991555,2.454680000000000000,2.427960000000000000,2.44483000000000000
2019-08-02,1.02997820,2.444000000000000000,2.425280000000000000,2.44325000000000000
2019-08-05,1.03016617,2.405930000000000000,2.417340000000000000,2.43932000000000000
2019-08-06,1.03022712,2.390570000000000000,2.413870000000000000,2.43791000000000000
2019-08-07,1.03028751,2.374540000000000000,2.410300000000000000,2.43639000000000000
2019-08-08,1.03034761,2.361850000000000000,2.406830000000000000,2.43488000000000000
2019-08-09,1.03040742,2.349830000000000000,2.403370000000000000,2.43330000000000000
2019-08-12,1.03058860,2.319770000000000000,2.393870000000000000,2.42863000000000000
2019-08-13,1.03064930,2.311760000000000000,2.390850000000000000,2.42717000000000000
2019-08-14,1.03071113,2.305080000000000000,2.387270000000000000,2.42588000000000000
2019-08-15,1.03077212,2.294060000000000000,2.383920000000000000,2.42419000000000000
2019-08-16,1.03083454,2.284370000000000000,2.381240000000000000,2.42279000000000000
2019-08-19,1.03101751,2.252650000000000000,2.371850000000000000,2.41790000000000000
2019-08-20,1.03107794,2.242640000000000000,2.368830000000000000,2.41632000000000000
2019-08-21,1.03113894,2.233290000000000000,2.366150000000000000,2.41486000000000000
2019-08-22,1.03119909,2.223270000000000000,2.363130000000000000,2.41318000000000000
2019-08-23,1.03125896,2.212920000000000000,2.360010000000000000,2.41143000000000000
2019-08-26,1.03143943,2.181530000000000000,2.350960000000000000,2.40660000000000000
2019-08-27,1.03149960,2.171180000000000000,2.347490000000000000,2.40508000000000000
